Year,Date,Hour,Minute,Upstream,Downstream,Passage,Reviewer,Comments
2017,18-Jul,19:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,19:00:00,50,NA,NA,0,NA,NA
2017,18-Jul,20:00:00,0,85,4,81,JMK,NA
2017,18-Jul,20:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,20:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,20:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,20:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,20:00:00,50,53,4,49,JMK,NA
2017,18-Jul,21:00:00,0,113,0,113,VTR,NA
2017,18-Jul,21:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,21:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,21:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,21:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,21:00:00,50,NA,NA,0,NA,NA
2017,18-Jul,22:00:00,0,4,0,4,JMK,NA
2017,18-Jul,22:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,22:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,22:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,22:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,22:00:00,50,17,0,17,VTR,NA
2017,18-Jul,23:00:00,0,20,0,20,VTR,NA
2017,18-Jul,23:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,23:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,23:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,23:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,23:00:00,50,NA,NA,0,NA,NA
2017,19-Jul,00:00:00,0,13,0,13,JMK,NA
2017,19-Jul,00:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,00:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,00:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,00:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,00:00:00,50,NA,NA,0,NA,NA
2017,19-Jul,01:00:00,0,47,0,47,JMK,NA
2017,19-Jul,01:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,01:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,01:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,01:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,01:00:00,50,NA,NA,0,NA,NA
2017,19-Jul,02:00:00,0,8,3,5,JMK,NA
2017,19-Jul,02:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,02:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,02:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,02:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,02:00:00,50,NA,NA,0,NA,NA
2017,19-Jul,03:00:00,0,9,2,7,JMK,NA
2017,19-Jul,03:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,03:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,03:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,03:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,03:00:00,50,NA,NA,0,NA,NA
2017,19-Jul,04:00:00,0,6,0,6,JMK,NA
2017,19-Jul,04:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,04:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,04:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,04:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,04:00:00,50,23,7,16,VTR,NA
2017,19-Jul,05:00:00,0,56,0,56,VTR,NA
2017,19-Jul,05:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,05:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,05:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,05:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,05:00:00,50,NA,NA,0,NA,NA
2017,19-Jul,06:00:00,0,69,2,67,JMK,NA
2017,19-Jul,06:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,06:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,06:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,06:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,06:00:00,50,10,0,10,VTR,NA
2017,19-Jul,07:00:00,0,1,0,1,VTR,NA
2017,19-Jul,07:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,07:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,07:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,07:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,07:00:00,50,NA,NA,0,NA,NA
2017,19-Jul,08:00:00,0,88,0,88,JMK,NA
2017,19-Jul,08:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,08:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,08:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,08:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,08:00:00,50,152,0,152,VTR,NA
2017,19-Jul,09:00:00,0,94,0,94,VTR,NA
2017,19-Jul,09:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,09:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,09:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,09:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,09:00:00,50,NA,NA,0,NA,NA
2017,19-Jul,10:00:00,0,132,0,132,JMK,NA
2017,19-Jul,10:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,10:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,10:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,10:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,10:00:00,50,221,0,221,VTR,NA
2017,19-Jul,11:00:00,0,292,0,292,VTR,NA
2017,19-Jul,11:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,11:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,11:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,11:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,11:00:00,50,NA,NA,0,NA,NA
2017,19-Jul,12:00:00,0,67,0,67,JMK,NA
2017,19-Jul,12:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,12:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,12:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,12:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,12:00:00,50,65,0,65,VTR,NA
2017,19-Jul,13:00:00,0,51,0,51,VTR,NA
2017,19-Jul,13:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,13:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,13:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,13:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,13:00:00,50,NA,NA,0,NA,NA
2017,19-Jul,14:00:00,0,174,1,173,JMK,NA
2017,19-Jul,14:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,14:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,14:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,14:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,14:00:00,50,176,2,174,VTR,NA
2017,19-Jul,15:00:00,0,170,0,170,VTR,NA
2017,19-Jul,15:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,15:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,15:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,15:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,15:00:00,50,NA,NA,0,NA,NA
2017,19-Jul,16:00:00,0,262,2,260,JMK,NA
2017,19-Jul,16:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,16:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,16:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,16:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,16:00:00,50,272,1,271,VTR,NA
2017,19-Jul,17:00:00,0,235,0,235,VTR,NA
2017,19-Jul,17:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,17:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,17:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,17:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,17:00:00,50,NA,NA,0,NA,NA
2017,19-Jul,18:00:00,0,300,0,300,JMK,NA
2017,19-Jul,18:00:00,10,NA,NA,0,NA,NA
2017,19-Jul,18:00:00,20,NA,NA,0,NA,NA
2017,19-Jul,18:00:00,30,NA,NA,0,NA,NA
2017,19-Jul,18:00:00,40,NA,NA,0,NA,NA
2017,19-Jul,18:00:00,50,137,1,136,VTR,NA
2017,19-Jul,19:00:00,0,222,1,221,VTR,NA
2017,19-Jul,19:00:00,10,NA,NA,0,NA,NA
